Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
CHD1		74	67	6434	1.0%	No
RCC1		10	10	3116	0.3%	No
CHAT		14	14	3795	0.4%	No
RCBTB2		22	19	4093	0.5%	No
CHAD		9	8	2336	0.3%	No
C19ORF54		12	12	3709	0.3%	No
KCNJ5		6	6	3167	0.2%	Yes
KCNJ6		13	13	3704	0.4%	No
ZNF780A		20	20	3437	0.6%	No
KCNJ8		11	11	3588	0.3%	No
KCNJ9		5	5	3081	0.2%	No
KCNJ10		13	13	3437	0.4%	No
KCNJ11		7	7	2925	0.2%	No
AKR1C4		12	12	3648	0.3%	No
KCNJ12		27	27	3774	0.7%	No
CHD4		96	88	4010	2.2%	Yes
KCNJ13		6	6	2865	0.2%	No
SYCE1L		9	9	3588	0.3%	No
KCNN1		3	3	1406	0.2%	No
KCNN2		23	23	3985	0.6%	No
KCNN3		41	41	4011	1.0%	No
KCNN4		5	5	1549	0.3%	No
CHM		25	25	3791	0.7%	No
CHKB		15	15	3609	0.4%	No
CHIT1		11	11	3081	0.4%	No
CHI3L2		8	8	3609	0.2%	No
CHI3L1		24	24	3825	0.6%	No
CHGB		33	33	3890	0.8%	No
FRK		6	6	3146	0.2%	No
CHGA		4	4	1726	0.2%	No
FOXN3		7	7	3372	0.2%	No
CHEK1		11	11	6148	0.2%	Yes
KCNJ16		19	18	3548	0.5%	No
ZSCAN1		16	15	3709	0.4%	No
SDCBPP2		1	1	817	0.1%	No
KCNK1		8	8	3181	0.3%	No
KCNK2		26	26	3609	0.7%	No
KCNK3		10	8	3725	0.2%	No
KCNMA1		37	33	4011	0.8%	No
KCNMB1		2	2	2048	<0.1%	No
CHKA		4	4	2865	0.1%	No
KCNS3		13	13	3588	0.4%	No
KDR		81	72	7674	0.9%	Yes
KEL		13	13	4114	0.3%	Yes
CHRM4		10	10	3620	0.3%	No
CHRM3		14	14	3990	0.4%	No
LYST		112	94	4395	2.1%	No
CHRM2		25	22	4011	0.5%	No
CHRM1		18	18	3774	0.5%	No
ZNF776		19	19	3588	0.5%	No
ZIK1		15	15	3774	0.4%	No
ZNF547		11	11	3609	0.3%	No
CHN2		17	16	3653	0.4%	No
CHN1		13	13	3372	0.4%	Yes
CHML		21	20	4011	0.5%	No
KCNQ1		17	17	3504	0.5%	No
KCNQ2		40	40	3928	1.0%	No
KCNQ3		36	36	3688	1.0%	No
KCNS1		7	7	3318	0.2%	No
KCNS2		13	13	2844	0.5%	No
ACTL9		15	15	3558	0.4%	No
DCDC2C		3	3	1098	0.3%	No
CCDC169		2	2	2048	<0.1%	No
CHRNB4		20	19	3588	0.5%	No
CHRNB3		12	12	3372	0.4%	No
CHRNB2		37	37	3941	0.9%	No
C5ORF51		13	13	3609	0.4%	No
CHRNB1		13	13	3890	0.3%	No
CHRNA7		4	4	2164	0.2%	No
CHRNA5		9	9	2865	0.3%	No
CHRNA4		24	21	4028	0.5%	No
CHRNA3		10	10	3609	0.3%	No
CHRNA2		17	15	3478	0.4%	No
CHRNA1		16	16	3472	0.5%	No
CHRM5		6	6	1573	0.4%	No
KHK		11	11	3558	0.3%	No
KIF2A		34	34	3825	0.9%	No
KIF3C		21	19	3942	0.5%	No
KIF5A		37	37	4236	0.9%	No
HMGA2-AS1		2	2	1282	0.2%	No
KIF5B		32	31	3831	0.8%	Yes
ZNF841		37	35	3834	0.9%	No
ZNF615		17	17	3709	0.5%	No
SLC36A3		10	10	3795	0.3%	No
KIF4B		31	31	4030	0.8%	No
CISH		7	6	2150	0.3%	No
CIRBP		5	5	3609	0.1%	No
CKB		4	4	3081	0.1%	No
FRG1		32	32	3772	0.8%	No
CIDEA		4	4	2222	0.2%	No
CHUK		23	19	3607	0.5%	No
CHRNG		14	12	3372	0.4%	No
CHRNE		4	4	1883	0.2%	No
MTOR		156	147	7890	1.9%	Yes
CHRND		17	17	3709	0.5%	No
SIGLECL1		3	3	2865	0.1%	No
KLK9		4	4	2099	0.2%	No
KCNK4		11	11	3372	0.3%	No
EMC10		5	5	2606	0.2%	No
MYEF2		14	13	3488	0.4%	No
IRX4		11	11	3825	0.3%	No
AK3		6	6	3081	0.2%	No
ASAP1		32	28	3990	0.7%	No
HP1BP3		10	10	3017	0.3%	No
CKS2		1	1	216	0.5%	No
FTH1		1	1	216	0.5%	No
CKS1B		4	4	2385	0.2%	Yes
NR5A2		25	21	3774	0.6%	No
OR2V2		5	5	3588	0.1%	No
ERCC8		6	6	3709	0.2%	No
FSHR		37	37	3748	1.0%	No
CKMT2		21	21	3795	0.6%	No
CENPI		18	16	3453	0.5%	No
CKMT1B		4	4	2865	0.1%	No
CKM		7	7	3102	0.2%	No
FSHB		2	2	1883	0.1%	No
FRZB		3	3	2048	0.1%	No
IZUMO1		11	11	3318	0.3%	No
TBCB		4	4	2865	0.1%	No
MAMSTR		8	8	3588	0.2%	No
TPRX1		17	17	3372	0.5%	No
NKPD1		4	4	2771	0.1%	No
HDGFL3		5	5	2865	0.2%	No
PPP1R37		7	7	3337	0.2%	No
NSDHL		13	13	3774	0.3%	No
AP3S1		3	3	2865	0.1%	No
AP2S1		2	2	1066	0.2%	No
C5ORF64		2	2	1131	0.2%	No
AP1S1		3	3	1799	0.2%	No
AP2M1		11	11	3588	0.3%	No
ZNF283		17	17	3712	0.5%	No
LYPD5		10	10	3372	0.3%	No
CCDC157		6	6	3102	0.2%	No
ZNF575		7	7	3081	0.2%	No
CXCL17		6	6	3372	0.2%	No
PLEKHM2		15	15	3928	0.4%	No
SYT11		19	19	3648	0.5%	No
MLC1		21	21	3372	0.6%	No
OR4C12		12	10	2676	0.4%	No
OR4C13		13	13	3631	0.4%	No
M1AP		10	10	3588	0.3%	No
CLCNKA		27	25	3790	0.7%	No
USP49		10	10	3267	0.3%	No
CLCN7		13	13	3421	0.4%	No
ATP11B		23	19	3418	0.6%	No
WHRN		12	12	3928	0.3%	No
CLCN6		25	24	4011	0.6%	No
FAM168A		4	4	3372	0.1%	No
ABHD14A		3	3	2264	0.1%	No
CLCN5		21	21	3620	0.6%	No
CLCN4		23	22	3825	0.6%	No
PMPCA		13	13	3825	0.3%	No
CLCN3		21	21	3874	0.5%	No
ARL6IP1		4	4	2930	0.1%	No
PRKD2		36	35	3825	0.9%	No
CLCN2		27	25	3925	0.6%	No
ACSBG1		19	19	3825	0.5%	No
CLCN1		17	14	2955	0.5%	No
RASSF8		1	1	103	1.0%	No
CLCA1		27	25	3753	0.7%	No
CLC		7	7	2792	0.3%	No
DUSP10		29	27	3795	0.7%	No
NLRC5		50	44	3825	1.2%	No
MST1L		7	7	2555	0.3%	No
ANTXR1		9	7	3609	0.2%	No
MRPL3		5	5	2151	0.2%	No
C19ORF44		21	19	3689	0.5%	No
KIAA1109		127	109	4352	2.5%	No
RPL35		8	8	3372	0.2%	No
GALNT5		22	22	3653	0.6%	No
ASCC2		19	18	3081	0.6%	No
GALNT6		12	10	3288	0.3%	No
GTF2IRD2		21	21	3588	0.6%	No
NBEAL2		51	47	4190	1.1%	No
FBXO28		17	17	3928	0.4%	No
TSLP		4	4	3372	0.1%	No
C10ORF126		3	3	402	0.7%	No
PRAF2		1	1	237	0.4%	No
CLK3		35	35	6157	0.6%	No
JMJD6		11	11	3504	0.3%	No
RPL36		4	4	3372	0.1%	No
ZC3H4		19	19	3795	0.5%	No
CLK2		23	21	3318	0.6%	No
RRS1		12	12	4011	0.3%	No
LETMD1		7	7	3372	0.2%	No
CLK1		17	13	4011	0.3%	No
SULF1		30	30	4076	0.7%	No
MPC2		8	8	3588	0.2%	No
XPO6		28	28	3925	0.7%	No
PRRC2C		82	73	4101	1.8%	No
CLIC2		9	9	3372	0.3%	No
SPEF1		2	2	1282	0.2%	No
TBC1D1		28	25	4227	0.6%	No
CLIC1		7	7	3372	0.2%	No
DCAF13		17	17	4111	0.4%	No
MXRA5		129	114	4395	2.6%	No
CLU		13	13	3318	0.4%	No
ZFR2		8	8	2771	0.3%	No
ARID5B		102	93	10164	0.9%	Yes
NEPRO		8	6	2450	0.2%	No
CLCNKB		19	19	3688	0.5%	No
SUMF2		12	12	3418	0.4%	No
TRUB1		7	7	2455	0.3%	No
POLG2		13	12	3081	0.4%	No
SEC63		20	20	3795	0.5%	No
RPF2		2	2	289	0.7%	No
HPS5		18	16	3029	0.5%	No
MKX		16	16	3081	0.5%	No
RNF139		23	17	4041	0.4%	No
PDCD10		8	8	2865	0.3%	No
CA5B		10	10	3267	0.3%	No
PSKH2		8	8	3609	0.2%	No
RNASEH2C		1	1	216	0.5%	No
RNF24		3	3	2865	0.1%	No
PPP1R1B		4	3	1282	0.2%	No
SGMS2		6	6	3081	0.2%	No
ANAPC13		2	2	453	0.4%	No
MINDY4		15	13	3877	0.3%	No
PARM1		6	5	2264	0.2%	No
CHD6		78	77	4214	1.8%	No
ZNF831		40	40	4274	0.9%	No
METTL7A		6	6	3372	0.2%	No
ASF1A		9	9	2865	0.3%	No
ABTB2		24	24	4171	0.6%	No
YIPF3		2	2	216	0.9%	No
MOB4		5	5	2646	0.2%	No
FAR1		9	8	1810	0.4%	No
C20ORF85		2	2	982	0.2%	No
TMEM164		4	4	1252	0.3%	No
POLI		17	17	3925	0.4%	No
CHEK2		66	61	9841	0.6%	Yes
SLITRK6		37	35	3950	0.9%	No
KLK8		12	11	3691	0.3%	No
ZCCHC7		13	13	3825	0.3%	No
CATSPERZ		9	5	3558	0.1%	No
LOXL4		13	13	3475	0.4%	No
ZNF844		16	16	3658	0.4%	No
ZNF763		6	6	1398	0.4%	No
TECPR1		17	16	4071	0.4%	No
ZNF345		13	11	3691	0.3%	No
DCAF12		12	12	3588	0.3%	No
ARMC8		15	15	3825	0.4%	No
BRMS1		5	5	2615	0.2%	No
FAM149A		11	11	3718	0.3%	No
CTRB2		2	2	1489	0.1%	No
DDX20		18	18	3475	0.5%	No
TREX2		6	6	2892	0.2%	No
HDX		42	42	3977	1.1%	No
PLPBP		7	7	3372	0.2%	No
SLC49A3		6	6	2553	0.2%	No
APOOL		7	7	2264	0.3%	No
FZD10		9	9	3318	0.3%	No
AKAP13		70	61	4028	1.5%	No
ELMOD3		12	12	4011	0.3%	No
IRAK3		15	14	4028	0.3%	No
POLR1B		17	17	3753	0.5%	No
AKAP10		8	8	3068	0.3%	No
AKAP11		55	45	4198	1.1%	No
OR2Z1		15	13	3475	0.4%	No
SLA2		4	4	1169	0.3%	No
BACE2		8	8	3774	0.2%	No
TXN2		3	3	2234	0.1%	No
FBXL2		13	13	3372	0.4%	No
PROKR2		8	8	2601	0.3%	No
TMEM184B		5	5	2865	0.2%	No
OR4Q3		8	8	2043	0.4%	No
ZIM3		28	25	3618	0.7%	No
OSCAR		3	3	2865	0.1%	No
ARIH1		7	7	2792	0.3%	No
DMBX1		7	7	3391	0.2%	No
DNAJB5		12	12	3081	0.4%	No
MTO1		42	39	3609	1.1%	No
PRDX5		13	13	3372	0.4%	No
TPSG1		4	4	1789	0.2%	No
GBP4		27	27	3588	0.8%	No
OR4M1		14	13	2843	0.5%	No
GBP5		16	15	3437	0.4%	No
MTERF4		7	7	2865	0.2%	No
TOE1		3	3	316	0.9%	No
PCP2		8	8	3372	0.2%	No
TBC1D3B		1	1	507	0.2%	No
RAB26		2	2	1799	0.1%	No
CIAO2A		11	11	3774	0.3%	No
NIPBL		94	81	4395	1.8%	No
METTL25		17	17	3418	0.5%	No
COG4		11	11	3674	0.3%	No
SETD3		15	12	3588	0.3%	Yes
TRAPPC5		7	7	2727	0.3%	No
HECTD1		59	56	4279	1.3%	No
SULT4A1		9	8	3504	0.2%	No
POU2F3		6	6	2792	0.2%	No
NBPF14		19	19	3591	0.5%	No
MGAT4C		13	13	3588	0.4%	No
FSBP		2	2	1001	0.2%	No
FCRL1		20	20	4214	0.5%	No
FCRL3		29	27	4028	0.7%	No
LRRC42		28	25	4076	0.6%	No
POMK		8	7	3691	0.2%	No
USP48		24	20	3284	0.6%	No
LSM4		7	6	3372	0.2%	No
SPDEF		15	13	3609	0.4%	No
VAX2		1	1	982	0.1%	No
BAMBI		3	3	1355	0.2%	No
C20ORF141		3	3	2865	0.1%	No
RHBDD3		1	1	237	0.4%	No
TMEM17		4	4	2965	0.1%	No
TTLL1		10	10	2606	0.4%	No
SLC39A6		27	26	3691	0.7%	No
LMOD1		28	28	3712	0.8%	No
LINC02903		1	1	103	1.0%	No
LIPJ		2	2	1252	0.2%	No
SIRPD		3	3	2865	0.1%	No
ATXN10		11	11	4011	0.3%	No
TAFA5		3	3	2865	0.1%	No
TNFAIP8		4	4	3081	0.1%	No
SPATA48		14	14	3504	0.4%	No
NOCT		8	8	3378	0.2%	No
KLK5		16	16	3648	0.4%	No
CCDC148		18	18	3081	0.6%	No
NPIPB15		13	13	3432	0.4%	No
SPRED2		12	12	2895	0.4%	No
NPIPB4		4	4	1573	0.3%	No
SAMM50		7	7	3102	0.2%	No
GPR146		1	1	507	0.2%	No
TBC1D20		6	6	3372	0.2%	No
WDR6		37	37	4111	0.9%	No
KCTD7		18	18	3432	0.5%	No
SLC2A6		10	10	2925	0.3%	No
TREH		8	8	3588	0.2%	No
MAP4K1		29	29	3998	0.7%	No
MAP4K5		10	10	3504	0.3%	No
RASSF1		1	1	1066	<0.1%	No
INMT		12	12	2390	0.5%	No
STAB1		57	51	4133	1.2%	No
EFR3A		21	21	3674	0.6%	No
RTF1		16	15	3348	0.4%	No
SLC35D1		6	6	3691	0.2%	No
RBM46		7	7	2870	0.2%	No
OR2A25		1	1	216	0.5%	No
CRPPA		4	3	2555	0.1%	No
CLEC4F		12	12	3795	0.3%	No
NKD2		12	11	3588	0.3%	No
TPRG1L		3	3	2865	0.1%	No
SAMD8		9	9	2936	0.3%	No
WDR43		15	14	3947	0.4%	No
ZIC5		6	6	3609	0.2%	No
SNX13		26	26	3885	0.7%	No
CCNB3		61	59	4274	1.4%	Yes
MAPK8IP3		39	36	4114	0.9%	No
SLC45A3		16	15	3928	0.4%	Yes
GGA3		5	5	2620	0.2%	No
RHPN2		14	14	3604	0.4%	No
MPRIP		23	23	3569	0.6%	No
NUP205		36	36	4044	0.9%	No
SLC22A16		20	20	3609	0.6%	No
NISCH		19	16	3551	0.5%	No
PKP3		10	10	2930	0.3%	No
CELF3		7	7	3184	0.2%	No
NAT2		1	1	1066	<0.1%	No
CEP250		45	45	4011	1.1%	No
SERPINA3		5	4	2043	0.2%	No
ZBTB34		4	4	1303	0.3%	No
AADAC		24	24	3825	0.6%	No
WBP4		8	8	3609	0.2%	No
AAMP		3	3	1126	0.3%	No
AANAT		4	4	2865	0.1%	No
ABCB8		41	41	3488	1.2%	No
AARS1		34	34	3874	0.9%	No
WIF1		14	12	3588	0.3%	Yes
ABAT		28	25	4028	0.6%	No
SEC23IP		19	19	3181	0.6%	No
ABCA1		40	35	3990	0.9%	No
CEP68		24	24	3774	0.6%	No
PASK		35	35	4111	0.9%	Yes
RGL1		9	9	3318	0.3%	No
LRRIQ3		22	22	4011	0.5%	No
ERICH3		67	56	3674	1.5%	No
TYW3		20	18	3588	0.5%	No
NKD1		6	6	3372	0.2%	No
TTLL12		4	4	3372	0.1%	No
RAB42		12	12	3372	0.4%	No
GPD1L		4	4	237	1.7%	No
ABRAXAS2		11	11	3688	0.3%	No
DNAJC14		27	27	4042	0.7%	No
METAP1		18	10	3203	0.3%	No
EAF1		3	3	2865	0.1%	No
ZCCHC14		10	10	3391	0.3%	No
LPIN1		18	18	3895	0.5%	No
SEPTIN8		12	12	3184	0.4%	No
ANXA10		7	7	2865	0.2%	No
SUPT16H		36	30	3947	0.8%	No
ABCA2		25	24	3523	0.7%	No
ABCA3		52	44	4052	1.1%	No
ABCB7		28	28	3902	0.7%	No
C5ORF38		2	2	297	0.7%	No
ABCF1		33	32	4076	0.8%	No
IRX2		8	8	2212	0.4%	No
ABCA4		59	50	4195	1.2%	No
ERLIN2		15	10	3318	0.3%	No
ABL1		64	61	7281	0.8%	Yes
AOC1		8	8	3288	0.2%	No
NUDT6		8	5	3372	0.1%	No
ZAR1L		7	7	3081	0.2%	No
ABL2		35	33	4339	0.8%	Yes
ERG28		1	1	1066	<0.1%	No
NUDT5		6	6	3610	0.2%	No
ABO		1	1	216	0.5%	No
ABR		37	35	3896	0.9%	No
NUDT4		4	4	3081	0.1%	No
ZC3H3		16	16	4192	0.4%	No
ASB17		14	14	3472	0.4%	No
BTNL9		16	16	4011	0.4%	No
SSPOP		5	5	2771	0.2%	No
TIGD1		1	1	1066	<0.1%	No
NACAD		41	37	3960	0.9%	No
FCHO1		24	24	3731	0.6%	No
PCGF6		16	16	3041	0.5%	No
ZIC4		20	20	3977	0.5%	No
CABS1		12	12	3839	0.3%	No
QRFPR		3	3	1182	0.3%	No
STON2		26	26	4011	0.6%	No
ZZEF1		49	44	3937	1.1%	No
DDIT4L		12	11	3537	0.3%	No
ANKLE2		26	26	3939	0.7%	No
C4ORF17		20	20	3795	0.5%	No
ZCRB1		3	3	2865	0.1%	No
DCUN1D4		11	8	3081	0.3%	No
PRAM1		11	10	2865	0.3%	No
LRCH1		32	32	3577	0.9%	No
ARL6		9	9	3008	0.3%	No
SOX21		1	1	216	0.5%	No
NUDT3		3	3	2865	0.1%	No
SLC41A2		5	5	2857	0.2%	No
PSIP1		21	20	2709	0.7%	Yes
FSTL1		3	3	2048	0.1%	No
USP44		4	4	2490	0.2%	No
ACAA1		6	6	3609	0.2%	No
WDHD1		20	19	4011	0.5%	No
ACACA		52	50	4239	1.2%	No
ACACB		51	51	4236	1.2%	No
ACADL		9	8	3267	0.2%	No
ACADM		2	2	302	0.7%	No
ACADS		8	8	3318	0.2%	No
STRAP		4	4	3372	0.1%	No
MARVELD2		11	11	4093	0.3%	No
ACADSB		17	17	3372	0.5%	No
FAM107A		7	7	3432	0.2%	No
ACADVL		17	17	4028	0.4%	No
ADAMTS7		37	37	3205	1.2%	No
OR9K2		11	11	2892	0.4%	No
ACAT1		12	12	3648	0.3%	No
INSL6		4	4	2113	0.2%	No
TTLL13P		10	10	3895	0.3%	No
ACAT2		3	3	1673	0.2%	No
ADAMTS6		34	32	4176	0.8%	No
CLCC1		8	8	3081	0.3%	No
DQX1		19	19	4044	0.5%	No
SEPTIN6		11	11	3154	0.3%	Yes
TBC1D9		20	19	4044	0.5%	No
TSPAN11		17	17	3609	0.5%	No
FRMD4B		14	14	3925	0.4%	No
GRAMD4		14	14	3372	0.4%	No
CIC		76	76	7332	1.0%	Yes
NCDN		17	17	3675	0.5%	No
BAZ1A		41	41	3890	1.1%	No
BAZ2A		39	38	3885	1.0%	No
ZNF277		11	11	2965	0.4%	No
LZTS1		21	21	3928	0.5%	No
PIRT		2	2	1066	0.2%	No
ASIC2		7	7	3305	0.2%	No
ASIC1		14	14	3669	0.4%	No
AMER1		101	94	7313	1.3%	Yes
ACHE		12	12	3421	0.4%	No
ACLY		45	36	4076	0.9%	No
ACO1		13	13	3816	0.3%	No
CDC37		18	17	3609	0.5%	No
ACR		10	10	3081	0.3%	No
PKIG		7	7	3609	0.2%	No
RASSF6		1	1	65	1.5%	No
IL1RAPL1		38	29	3588	0.8%	No
CLASP2		32	30	3895	0.8%	No
CAMTA2		30	30	3977	0.8%	No
WIPF3		10	10	2736	0.4%	No
POGZ		45	45	4214	1.1%	No
TMEM59L		18	18	3688	0.5%	No
RAD54B		59	58	4127	1.4%	No
COLGALT2		9	9	3008	0.3%	No
PLXND1		36	34	4053	0.8%	No
ACAD11		23	23	3925	0.6%	No
ATRIP		12	9	2865	0.3%	No
DIXDC1		11	11	3588	0.3%	No
CEP295		63	59	3972	1.5%	No
RASGRP3		13	13	3348	0.4%	No
LRRIQ1		51	51	4111	1.2%	No
ATP10B		76	76	3990	1.9%	No
WDR75		17	17	3855	0.4%	No
TNKS1BP1		45	45	4076	1.1%	No
RAB3GAP2		46	46	4114	1.1%	No
CIPC		5	5	2925	0.2%	No
DMC1		12	12	3588	0.3%	No
KAT7		31	28	3907	0.7%	No
DISP2		33	33	4183	0.8%	No
CFAP74		16	16	2908	0.6%	No
GLMN		7	7	3141	0.2%	No
ZNF394		20	20	3372	0.6%	No
DNAAF6		4	4	2501	0.2%	No
ACO2		21	19	3855	0.5%	No
TSPYL5		9	9	3267	0.3%	No
PLAAT3		4	4	1943	0.2%	No
ITPRIP		24	24	3804	0.6%	No
ACOX1		13	13	3825	0.3%	No
HHLA2		14	14	3318	0.4%	No
HHLA3		4	4	3081	0.1%	No
UNK		21	18	3504	0.5%	No
ACP1		4	3	1468	0.2%	No
ACP2		7	7	2322	0.3%	No
ACP5		12	12	3437	0.3%	No
BVES		7	7	3472	0.2%	No
ACP3		24	24	3825	0.6%	No
MYOM3		51	48	4028	1.2%	No
ACRV1		8	8	3102	0.3%	No
ACTA1		13	9	3372	0.3%	No
TIGD2		12	12	2908	0.4%	No
ACTA2		14	14	3575	0.4%	No
CORO1A		4	4	3102	0.1%	No
FICD		9	8	3284	0.2%	No
WDR45		6	6	2771	0.2%	No
DRGX		13	13	3709	0.4%	No
PHF8		39	35	3825	0.9%	No
PGLS		12	12	3372	0.4%	No
KDM6B		32	31	3928	0.8%	No
BRI3		3	3	2865	0.1%	No
EPB41L3		36	36	4011	0.9%	No
QPCT		8	8	3588	0.2%	No
SMC5		26	26	4114	0.6%	No
N4BP3		12	12	3653	0.3%	No
SRRD		5	5	2771	0.2%	No
ZNF324		14	14	2908	0.5%	No
MAST2		33	31	4047	0.8%	No
CFAP45		20	20	3898	0.5%	No
KIAA1755		38	31	4076	0.8%	No
CIZ1		24	22	3588	0.6%	No
ATG2A		38	34	4176	0.8%	No
NGEF		16	14	3588	0.4%	No
GPATCH8		34	32	4002	0.8%	No
FSCN2		6	6	3372	0.2%	No
CNTNAP4		34	33	4176	0.8%	No
RAD54L2		30	28	3942	0.7%	No
FBXO7		14	13	3102	0.4%	No
ZFHX2		19	19	4071	0.5%	No
LDB3		19	19	3262	0.6%	No
DCLK3		9	9	3688	0.2%	No
LRRCC1		28	25	4227	0.6%	No
AP4S1		7	7	3081	0.2%	No
ACTB		30	30	4114	0.7%	Yes
HELZ2		30	29	4011	0.7%	No
KNDC1		28	28	4214	0.7%	No
PTP4A3		2	2	237	0.8%	No
PWWP3B		30	30	3688	0.8%	No
RABL2A		3	3	2390	0.1%	No
DOCK7		64	55	4106	1.3%	No
RABL2B		12	12	3372	0.4%	No
RAP1GAP2		7	7	2104	0.3%	No
DDN		5	5	2708	0.2%	No
OR5B3		7	7	2865	0.2%	No
PRXL2B		2	2	453	0.4%	No
BTN2A1		28	28	4041	0.7%	No
MYBPHL		12	12	3825	0.3%	No
IQUB		21	21	3688	0.6%	No
H2AP		3	3	1282	0.2%	No
MCF2L2		41	38	3977	1.0%	No
TBC1D2B		22	22	4011	0.5%	No
FSTL4		27	27	3791	0.7%	No
PRPF40B		20	16	3925	0.4%	No
SLC24A2		14	13	4114	0.3%	No
MRPS27		5	5	2306	0.2%	No
CLASRP		18	18	3825	0.5%	No
KAT8		17	16	3432	0.5%	No
CCDC65		7	6	1066	0.6%	No
DNAJC5B		10	10	3184	0.3%	No
PTPRT		105	101	7609	1.3%	Yes
SYDE2		21	21	3925	0.5%	No
GFM1		19	19	4028	0.5%	No
SCIN		19	19	3558	0.5%	No
ACTC1		4	4	639	0.6%	No
ACTG1		29	29	3971	0.7%	Yes
FAF1		19	19	3332	0.6%	Yes
ZNF644		38	38	4050	0.9%	No
ACTG2		25	25	3674	0.7%	No
RCAN3		3	3	2865	0.1%	No
FAM161A		18	14	3874	0.4%	No
CD160		1	1	1066	<0.1%	No
POLR3A		32	32	4230	0.8%	No
ABRAXAS1		15	13	5401	0.2%	Yes
KIF3A		15	14	3648	0.4%	No
EVA1A		3	3	2264	0.1%	No
FAM199X		9	9	3588	0.3%	No
HIC2		8	8	2925	0.3%	No
SYCE3		4	4	3051	0.1%	No
CAPN11		16	16	3874	0.4%	No
ZWINT		13	13	3372	0.4%	No
SPART		15	15	3475	0.4%	No
TNRC6B		63	61	3985	1.5%	No
CUL9		39	39	4176	0.9%	No
CBY1		6	6	2865	0.2%	No
NFASC		43	41	3709	1.1%	No
ZMAT2		3	3	2148	0.1%	No
DSTYK		20	19	3955	0.5%	No
TOGARAM1		48	44	4044	1.1%	No
SUN2		11	11	3081	0.4%	No
NPIPB3		3	3	1799	0.2%	No
TAB2		11	11	3790	0.3%	No
PCMTD1		12	10	2759	0.4%	No
CCDC13		15	14	3669	0.4%	No
TBC1D22A		10	10	3558	0.3%	No
SLC7A6OS		14	14	3372	0.4%	No
KPTN		7	5	3102	0.2%	No
ZNRF3		20	20	3774	0.5%	Yes
SELENOI		14	14	3609	0.4%	No
ACTN4		40	40	4130	1.0%	No
CAPN10		16	16	3844	0.4%	No
USP42		30	30	3885	0.8%	No
CDC42EP1		24	24	2981	0.8%	No
ZC3H12C		30	28	3725	0.8%	No
UTP15		11	11	3588	0.3%	No
TOMM40L		7	7	3372	0.2%	No
SSH2		30	23	4155	0.6%	No
TANC1		49	46	4066	1.1%	No
PWP1		9	9	3051	0.3%	No
FBXO17		10	10	1959	0.5%	No
SLC7A9		23	21	3478	0.6%	No
FHDC1		29	28	3588	0.8%	No
ACTL6A		13	13	2981	0.4%	No
CEP78		17	17	3709	0.5%	No
ACTN1		15	13	3124	0.4%	No
TBC1D8		46	45	4214	1.1%	No
ZNF518B		27	27	4028	0.7%	No
ACTN2		52	52	3825	1.4%	No
ACTN3		9	9	2151	0.4%	No
CMC4		4	4	3372	0.1%	No
ACVR1		12	12	5305	0.2%	Yes
ACVR1B		39	35	4028	0.9%	Yes
ACVR2A		31	31	3588	0.9%	Yes
ACVR2B		7	7	3102	0.2%	No
ACVRL1		20	20	5590	0.4%	No
ACY1		8	8	3588	0.2%	No
RSPH4A		23	22	3928	0.6%	No
ACYP1		7	7	3372	0.2%	No
SHISA9		26	26	3825	0.7%	No
GPR148		5	5	3102	0.2%	No
SLC35E2B		3	3	1883	0.2%	No
DCAF8		20	20	4063	0.5%	No
NPHP4		39	38	3895	1.0%	No
KIR2DL3		11	11	3558	0.3%	No
APCDD1L		6	6	3205	0.2%	No
KIR2DL4		15	15	3895	0.4%	No
KIR2DS1		1	1	100	1.0%	No
KIR2DS4		12	12	2771	0.4%	No
SH3RF3		5	5	1531	0.3%	No
KIF5C		44	41	3825	1.1%	No
KIFC3		34	34	4101	0.8%	No
KIR2DL1		18	18	3653	0.5%	No
TIPRL		5	5	2865	0.2%	No
KISS1		7	7	3588	0.2%	No
KIT		76	67	7394	0.9%	Yes
KLK1		8	8	3081	0.3%	No
KLK2		18	17	3795	0.4%	Yes
STEAP2		13	13	3372	0.4%	No
KLKB1		14	14	4028	0.3%	No
KIR3DL1		22	20	3068	0.7%	No
KIR3DL2		22	22	3653	0.6%	No
EIF3CL		2	2	1066	0.2%	No
KNG1		25	24	4011	0.6%	No
KLRB1		8	8	3378	0.2%	No
KLRC1		34	34	3648	0.9%	No
KLRC2		5	5	2771	0.2%	No
KLRC3		5	5	3609	0.1%	No
KLRD1		2	2	1799	0.1%	No
APOBEC4		4	4	844	0.5%	No
MORN2		2	2	286	0.7%	No
KPNA1		11	11	3521	0.3%	No
KPNB1		22	22	3718	0.6%	No
KPNA2		18	18	3609	0.5%	No
FAM71E2		17	17	3825	0.4%	No
KPNA3		18	18	3825	0.5%	No
TMEM150B		4	4	1573	0.3%	No
VSTM1		8	8	3372	0.2%	No
DENND10		10	10	3437	0.3%	No
KLC1		13	13	2925	0.4%	No
KIF11		24	23	3795	0.6%	No
KIFC1		38	37	3774	1.0%	No
KIF25		11	11	3418	0.3%	No
KIF22		22	20	4127	0.5%	No
SERINC4		2	2	216	0.9%	No
SHISA7		11	11	3348	0.3%	No
